"FTEHIM KOLLETTIV BEJN SIMONDS FARSONS CISK PLC IT-TAQSIMA LUKANDI, IKEL U XORB TAL-UNION ĦADDIEMA MAGĦQUDIN ĦADDIEMA KLERIKALI 2014 - 2018 - 2014",ftehim-kollettiv-bejn-simonds-farsons-cisk-plc-it-taqsima-lukandi-ikel-u-xorb-tal-union-addiema-mag-qudin-addiema-klerikali-2014---2018,Malta,mt,2014
Ftehim Kollettiv bejn Simonds Farsons Cisk plc u t-Taqsima Ospitalità u ikel tal-General Workers' Union 01.01.2014 - 31.12.2018 - 2014,ftehim-kollettiv-bejn-simonds-farsons-cisk-plc-u-t-taqsima-ospitalit-u-ikel-tal-general-workers-union-01-01-2014---31-12-2018,Malta,mt,2014
"Ftehim Kollettiv bejn Quintano Foods Ltd. u it- Taqsima Ospitalità u Ikel tal-General Workers Union, 2017 – 2019. - 2017",ftehim-kollettiv-bejn-quintano-foods-ltd-u-it--taqsima-ospitalit-u-ikel-tal-general-workers-union-2017-2019-,Malta,mt,2017
Collective Agreement for Employees in the Public Service - 2011 - 2011,collective-agreement-for-employees-in-the-public-service---2011,Malta,en,2011
KV_vida-WKÖ_2020 - 2020,kv_vida-wk-_2020,Austria,de,2020
AUT Austrian Federal Economic Chamber - Trade Division - 2016,kv-angestellte-in-pharmazeutischen-gro-handel-at-2016,Austria,de,2016
AUT Austrian Federal Economic Chamber - Trade Division - 2016,kv-angestellte-und-lehrlinge-in-handelsbetrieb-at-2016,Austria,de,2016
garagen-tankstellen-servicestationsunternehmugen Vida-2016,kv_garagen-tankstellen-servicestationsunternehmugen-vida-2016,Austria,de,2016
KV für die Angestellten des Versandhandels - 2016,kollektivvertrag-telefonische-kundenberatung-im-versandhandel-2016,Austria,de,2016
AUT Federal Council of Tabaktrafikanten of the Austrian Federal Economic Chamber - 2016,kollektivvertrag-f-r-die-angestellten-in-tabaktrafiken-2016,Austria,de,2016
SVN Association of Employers of Slovenia -,kolektivno-pogodbo-dejavnosti-trgovine-slovenije,Slovenia,sl,
"LTU Statoil Fuel & Retail Lietuva, Uab (Statoil Fuel & Retail Lithuania, Ltd.) - 2014",statoil-fuel-retail-lietuva-uab-kolektyvin-sutartis-susitarimas-d-l-statoil-fuel-retail-lietuva-uab-kolektyvin-s-sutarties-pakeitimo_2014,Lithuania,lt,2014
SWE H&M - 2015,global-framework-agreement-on-compliance-and-implementation-of-international-labour-standards-at-the-suppliers-of-h-m-2015,Sweden,en,2015
Framework agreement between Skanska and IFBWW 2001 - 2001,framework-agreement-between-skanska-and-ifbww-2001,Sweden,en,2001
SWE IKEA - 2001,framework-agreement-between-ikea-and-the-ifbww-2001,Sweden,en,2001
Kompetensföretagen f.d. Bemanningsföretagen - 2017 - 2017,kompetensf-retagen-f-d-bemanningsf-retagen---2017,Sweden,sv,2017
Medieföretagen fd SIF-MIA - 2017 - 2017,medief-retagen-fd-sif-mia---2017,Sweden,sv,2017
Handelns Tjänstemannaavtal - 2017 - 2017,handelns-tj-nstemannaavtal---2017,Sweden,sv,2017
Sveriges Byggindustrier - 2017 - 2017,sveriges-byggindustrier---2017,Sweden,sv,2017
Industriarbetsgivarna Stål- och Metallindustrin - 2017 - 2017,industriarbetsgivarna-st-l--och-metallindustrin---2017,Sweden,sv,2017
Trä- och Möbelföretagen Stoppmöbelindustrin - 2017 - 2017,tr---och-m-belf-retagen-stoppm-belindustrin---2017,Sweden,sv,2017
