cba_id,overtime_trig,annuleav_trig,N_ALs,comp_scores
accord-collectif-d-etablissement-entre-la-direction-generale-de-la-societe-servair---togo-restauration-aerienne-et-syndicat-des-travailleurs-de-l-aviation-civile-de-le-m-t-o-de-i-asecna-et-de-la-salt-stam---2013,1,0,1,3.67
benin---convention-collective-generale-du-travail,1,1,0,3.67
cct-applicable-au-personnel-de-l-agence-nationale-de-l-aviation-civile-,1,1,1,5
convention-collective-du-travail-applicable-au-personnel-du-centre-national-hospitalier-universitaire-hubert-koutoukou-maga-cnhu-hkm-,1,1,0,3.67
convention-collective-nationale-manutention-portuaire,1,1,0,3.67
convention-collective-du-travail-de-la-poste-du-b-nin-sa,1,1,1,5
convention-collective-du-travail-de-la-societe-beninoise-d-energie-electrique-s-b-e-e-,1,1,0,3.67
convention-collective-du-travail-applicable-au-personnel-de-benin-telecoms-sa,1,1,1,5
-accord-d-etablissement-scb-lafarge-,1,0,0,2.33
arr-te-n-026-mfptra-dc-sgm-dt-srt-du-14-avril-1998-fixant-les-conditions-generales-d-emploi-des-employes-de-maison-en-republique-du-benin,1,1,0,3.67
la-convention-collective-applicable-au-personnel-de-la-presse-en-republique-du-benin,1,1,0,3.67
projet-de-loi-portant-statut-general-de-la-fonction-publique,0,1,0,2.33
convention-collective-de-travail-portant-reglement-general-et-statuts-du-personnel-du-centre-national-de-securite-routiere,1,1,0,3.67
convention-collective-du-travail-applicable-au-personnel-de-la-cnss,1,1,0,3.67
convention-collective-de-travail-applicable-au-personnel-de-la-centrale-d-achat-des-medicaments-essentiels-et-consommables-medicaux-came---2011,1,1,0,3.67
convention-collective-du-travail-du-sucrerie-de-complant-du-benin-s-a-,0,1,0,2.33
accord-d-etablissement-de-la-soci-t-nationale-pour-la-promotion-agricole-sonapra--2012,0,0,0,1
convention-collective-du-travail-entre-le-laboratoire-central-de-contr-le-de-la-securite-sanitaire-des-aliments-lcssa-et-le-personnel-du-laboratoire---2015,0,0,0,1
accord-d-etablissement-entre-l-office-du-baccalaur-at-ob-et-les-d-l-gu-s-du-personnel-de-l-office-du-baccalaur-at---2015,1,1,0,3.67
accord-d-etablissement-entre-le-centre-de-formation-pour-l-administration-locale-cefal-et-le-personnel---2012,1,1,0,3.67
accord-d-etablissement-entre-l-agence-beninoise-de-gestion-integr-e-des-espaces-frontaliers-abegief-et-son-personnel---2014,1,1,0,3.67
accord-d-etablissement-applicable-entre-l-agence-b-ninoise-du-service-universel-des-communications-electroniques-et-de-la-poste-absu-cep-et-les-travailleurs-de-l-absu-cep---2014,1,0,0,2.33
convention-collective-de-travail-applicable-entre-l-association-pour-la-promotion-et-l-appui-au-d-veloppement-de-micro--entreprises-padme-et-son-personnel---2013,1,1,0,3.67
accord-d-etablissement-entre-le-fonds-de-d-veloppement-du-patrimoine-culturel-fdpc-et-le-personnel-du-fonds---2015,1,1,0,3.67
convention-collective-p-che-et-froid-oc-an-indien,1,0,0,2.33
convention-collective-ostie---organisation-sanitaire-tananarivienne-inter-entreprise,1,1,0,3.67
convention-collective-sept-port-toamasina,0,1,0,2.33
air-madagascar-convention-collective-generale,1,1,0,3.67
convention-collective-du-corps-des-travailleurs-de-la-societe-de-manutention-des-marchandises-conventionnelles,0,1,0,2.33
convention-collective-de-sofitrans-sa,1,1,0,3.67
convention-collective-de-la-jiro-sy-rano-eto-madagasikara-jirama-,0,1,0,2.33
convention-collective-des-brasseries-star-madagascar,1,1,0,3.67
convention-collective-floreal-madagascar,1,1,0,3.67
convention-collective-regissant-les-rapports-entre-l-ader-et-ses-employes,1,1,0,3.67
convention-d-entreprise-bank-of-africa-madagascar-,1,1,0,3.67
convention-collective-de-l-association-m-dicale-inter-entreprises-de-tananarive-2012,1,1,0,3.67
convention-collective-de-la-solitany-malagasy-solima---1995,1,1,0,3.67
convention-collective-des-banques-etablissements-financiers-du-niger,1,1,0,3.67
niger---convention-collective-interprofessionnelle,1,1,0,3.67
statut-autonome-des-personnels-enseignants-chercheurs-et-chercheurs-des-universit-s-publiques,0,1,1,3.67
statut-g-n-ral-de-la-fonction-publique-de-l-etat,0,1,0,2.33
-accord-d-entreprise-de-la-socie-te-d-exploitation-des-eaux-du-niger-seen-,1,1,0,3.67
societ-nigerienne-des-t-l-communications-statut-du-personnel---2013,1,1,0,3.67
accord-d-entreprise-de-la-soci-t-d-exploitation-des-eaux-du-niger-seen-du-17-mai-2007-r-vis-le-12-aout-2015,1,1,0,3.67
convention-collective-professionnelle-des-transports-routiers,1,1,0,3.67
convention-collective-des-journalistes-et-techniciens-de-la-communication-sociale-du-senegal,0,1,0,2.33
convention-collective-des-entreprises-d-assurances,1,1,0,3.67
convention-collective-federale-des-industries-de-la-mecanique-generale-de-l-aof,1,1,0,3.67
convention-collective-federale-des-auxiliaires-de-transports-de-l-aof,1,1,0,3.67
convention-collective-fixant-les-conditions-des-officiers-et-marins-de-la-marine-marchande-senegalaise,1,1,0,3.67
convention-collective-fixant-les-conditions-des-travailleurs-du-cinema-,1,0,0,2.33
convention-collective-des-transports-aeriens-,1,1,0,3.67
onvention-collective-nationale-professionnelle-des-banques-et-etablissements-financiers-du-senegal-,1,1,0,3.67
convention-collective-nationale-des-industries-hotelieres-de-la-republique-du-senegal-,1,0,1,3.67
convention-collective-des-ouvriers-boulangeries-de-la-delegation-de-dakar-et-dependances-,1,1,0,3.67
convention-collective-federale-des-industries-polygraphiques-,1,1,0,3.67
convention-collective-nationale-du-personnel-de-l-enseignement-prive-du-senegal,1,1,0,3.67
les-conditions-de-travail-dans-les-professions-agricoles-et-assimilees,0,0,0,1
convention-collective-du-commerce-,1,1,0,3.67
convention-collective-nationale-interprofessionnelle-du-s-n-gal,1,1,0,3.67
protocole-d-accord-entre-syndicats-et-employeurs-des-entreprises-du-batiment-et-des-travaux-publics,0,0,0,1
convention-collective-des-industries-extractives-et-de-la-prospection-miniere-de-la-federation-du-mali,1,1,0,3.67
convention-collective-f-d-rale-de-l-industrie-textile-de-l-afrique-occidentale-fran-aise,1,1,0,3.67
convention-collective-du-personnel-des-assemblees-consulaires-de-la-republique-du-senegal-1964,1,1,0,3.67
convention-collective-federale-des-industries-chimiques-de-l-afrique-occidentale-francaise-1958,1,1,0,3.67
convention-collective-f-d-rale-de-l-industrie-des-corps-gras-de-l-afrique-occidentale-fran-aise---1958,1,1,0,3.67
convention-collective-federale-des-industries-alimentaires-1958,1,1,0,3.67
collective-bargaining-agreement-between-uganda-fish-processors-and-exporters-association-ufpea-and-uganda-fisheries-and-allied-workers-union-ufawu-on-terms-and-conditions-of-employment-for-workers-in-the-fish-factories-in-uganda,0,1,0,2.33
the-collective-bargaining-agreement-between-the-uganda-private-security-association-and-the-amalgamated-transport-and-general-workers-union,0,0,1,2.33
supplement-bargaining-agreement-between-city-council-of-kampala-and-uganda-public-employees-union---uganda,0,1,0,2.33
-memorandum-of-agreement-between-kajjansi-roses-limited-and-national-union-of-plantation-and-agricultural-workers---uganda,0,0,0,1
addendum-to-the-memorandum-on-terms-and-conditions-of-service-between-kaweri-coffee-plantation-and-national-union-of-plantation-and-agricultural-workers---uganda,0,0,0,1
recognition-agreement-between-government-and-the-uganda-government-and-allied-workers-union,0,0,0,1
industrial-relations-machinery-2008-memorandum-of-recognition-and-collective-bargaining-agreement-made-between-rift-valley-railways-uganda-ltd-and-uganda-railways-workers-union,0,1,1,3.67
collective-bargaining-agreement-between-tropic-inn-hotel-limited-and-national-union-of-theatrical-domestic-and-general-workers,1,1,0,3.67
memorandum-of-agreement-between-kinyara-sugar-limited-and-national-union-of-plantation-and-agricultural-workers-u-,0,1,0,2.33
memorandum-of-agreement-between-sugar-corporation-of-uganda-limited-scoul-and-national-union-of-plantation-and-agriculture-workers-nupawu-,0,0,0,1
the-republic-of-uganda-collective-bargaining-agreement-between-fresh-handling-ltd-and-the-uganda-horticultural-and-allied-workers-union,1,1,0,3.67
the-republic-of-uganda-collective-bargaining-agreement-between-signatory-members-of-uganda-flower-exporters-association-and-uganda-horticultural-and-allied-workers-union-uhawu-,1,1,0,3.67
supplementary-agreement-between-tps-uganda-limited-uganda-hotels-food-tourism-and-allied-workers-union-,0,1,0,2.33
an-agreement-between-kakira-sugar-limited-and-the-national-union-of-plantation-agricultural-workers-of-uganda-,0,0,0,1
consultative-meeting-with-the-uganda-national-teachers-union-unatu-executive,0,0,0,1
enterprise-level-bargaining-agreement-between-uganda-tea-association-u-t-a-and-nupawu---uganda,0,0,0,1
uganda-sample-cba-model-created-by-wageindicator-foundation,1,1,0,3.67
memorandum-of-agreement-on-terms-and-conditions-of-service-between-kaweri-coffee-plantation-limited-and-national-union-of-plantation-and-agricultural-workers-uganda-2016-2018,1,1,0,3.67
