cba,language,readability,diveristy,accessibility
kollektivavtal-mellan-a-ena-sidan-svensk-handel-och-a-andra-sidan-handelsanstalldas-forbund-avseende-no-2016-17,sv,1.67,3.0,2.43
kollektivavtal-mellan-a-ena-sidan-svensk-handel-och-a-andra-sidan-handelsanstalldas-forbund-avseende-lagerpersonaloch-chaufforer-inom-partihandeln-2016-17,sv,1.67,2.5,2.14
kollektivavtal-mellan-a-ena-sidan-svensk-handel-och-a-andra-sidan-handelsanst-lldas-f-rbund-avseende-lagerpersonal-vid-postorder-och-e-handelsf-retag-2016-17,sv,2.0,3.5,2.86
teda-t-rk-ye-elektr-k-da-itim-a-genel-m-d-rl-ve-ba-li-yerler-n-ba-itlanan---2017,tr,2.33,2.5,2.43
grup-toplu-i-s-zle-mes---2018,tr,5.0,3.0,3.86
tes--t-rk-ye-enerj-su-ve-gaz-ler-send-kasi-le-kamu--kamu-letmeler-verenler-send-kasi-arasinda-ller-bankasi-a---2017,tr,3.33,3.0,3.14
dhl-loj-st-k-h-zmetler-a-le-t-mt-s-t-m-ta-ima-ler-send-kasi---2018,tr,3.67,2.75,3.14
ms-stanbul-ve-di-t-caret-l-m-ted-rket-ve-ba-li-yerler-letme-toplu-s-zle-mes---2016,tr,5.0,3.0,3.86
metro-grosmarket-bakirk-y-ali-ver-h-zmetler-t-c-ltd-t-le-sosyal--send-kasi-arasinda-ba-itlanan---2019,tr,3.0,2.5,2.71
lufthansa-a-ri-merkez-ve-m-ter-h-zmetler-t-c-a-le-sosyal--send-kasiarasinda-ba-itlanan---2018,tr,2.67,3.0,2.86
-zfa-zm-r-fuarcilik-h-zmetler-k-lt-r-ve-sanat-ler-t-caret-anon-m-rket-le-sosyal-t-rk-ye-sosyal-s-gortalar-e-t-m-b-ro-t-caret-kooperat-f-ve-g-zel-sanatlar-ler-send-kasi-arasinda-ba-itlanan,tr,3.67,2.5,3.0
uluslararasi-af-rg-t-t-rk-ye-ubes-le-sosyal--send-kasi-arasinda-ba-itlanan-01-01-2019-31-12-2021-y-r-rl-k-s-rel-toplu-s-zle-mes-,tr,4.0,2.5,3.14
-ups---ups-hizli-kargo-ta-imacili-i-a-le-t-mt-s---t-m-ta-ima-ler-send-kasi-arasinda-yapilan-4-d-nem-letme-toplu-s-zle-mes-y-r-rl-k-s-res-,tr,4.0,2.25,3.0
kamu-g-revl-ler-n-n-genel-ne-ve-h-zmet-kollarina-y-nel-k-mal-ve-sosyal-haklara-l-k-n-2018-ve-2019-yillarini-kapsayan-4-d-nem-toplu-s-zle-me,tr,1.0,3.25,2.29
-n-bel-zel-e-t-m-b-lg-teknoloj-ler-k-lt-r-tanitim-ve-yayincilik-san-ve-t-c-a-le-sosyal--send-kasi-arasinda-ba-itlanan---2018,tr,4.33,3.0,3.57
d-rd-nc-b-l-m-yerel-y-net-m-h-zmet-koluna-l-k-n-toplu-s-zle-me,tr,1.0,2.25,1.71
be-nc-b-l-m-basin-yayin-ve-let-m-h-zmet-koluna-l-k-n-toplu-s-zle-me,tr,2.67,2.5,2.57
